Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2010,1,21,17,0,69,108,87,62,274,106,16,22.483804832370538,939.6499633789062,67.40269772643116,80.82042070637401,2.3589744567871094,N/A
2010,1,21,18,0,0,0,0,0,0,0,15,21.641539576567936,940.001953125,69.99861144991736,94.36276653851523,2.516698122024536,N/A
2010,1,21,19,0,0,0,0,0,0,0,15,20.923304388894792,940.4019165039062,71.94885580482658,108.191695380436,2.6207122802734375,N/A
2010,1,21,20,0,0,0,0,0,0,0,15,20.213765449414097,940.9375610351562,73.71883152617809,122.19313010475537,2.7545177936553955,N/A
2010,1,21,21,0,0,0,0,0,0,0,15,19.475601021652096,940.899658203125,75.70622111596758,136.28384414373122,2.789879083633423,N/A
2010,1,21,22,0,0,0,0,0,0,0,14,18.753462308907046,940.8646850585938,77.86786746621685,150.37040475172972,2.7323124408721924,N/A
2010,1,21,23,0,0,0,0,0,0,0,14,18.09952477951265,941.1893310546875,79.76528398151636,164.19429435160598,2.667661190032959,N/A
2010,1,22,0,0,0,0,0,0,0,0,14,17.465991582439074,940.8031616210938,81.642940618347,174.43363940973245,2.6389153003692627,N/A
2010,1,22,1,0,0,0,0,0,0,0,14,16.894925814045905,940.5890502929688,83.35490154595958,165.07334383322558,2.63938045501709,N/A
2010,1,22,2,0,0,0,0,0,0,0,13,16.377698657223846,940.0570678710938,85.39071964191174,151.29138467635283,2.6819241046905518,N/A
2010,1,22,3,0,0,0,0,0,0,0,13,15.925017876193465,939.880615234375,87.14743294431251,137.2061875689694,2.757888078689575,N/A
2010,1,22,4,0,0,0,0,0,0,0,13,15.552989369588829,939.8247680664062,88.61849062358334,123.1064124142781,2.7741470336914062,N/A
